id,name,country,lat,long,usedstart,usedend
1229,Kokkola,FIN,63.8578,23.1339,8148,165
1231,New Mangalore,IND,12.9167,74.8,8158,612
1233,Ketchikan,USA,55.3497,-131.6631,8218,2050
1236,Drepanon,GRC,38.3366,21.8464,8220,4321
1238,Mar del Plata,ARG,-38.0331,-57.5447,8222,1256
1241,Innoshima,JPN,34.2833,133.1667,8229,9429
1245,Hydaburg,USA,55.2,-132.8167,8230,16681
1254,Lyttelton,NZL,-43.6064,172.7281,8237,237
1257,Puerto Bolivar(ECU),ECU,-3.2673,-80.0017,8276,2531
1258,Puerto Montt,CHL,-41.4667,-72.95,8282,291
1259,Belitung Is.,IDN,-2.8333,107.9167,8297,22766
1263,Kagoshima,JPN,31.5833,130.5667,8298,1361
1269,Yuzhnyy,UKR,46.6139,31.0117,8335,2313
1274,St. Vincent(CPV),CPV,16.8919,-24.9925,8360,2331
1276,St. Vincent(WI),VCT,13.15,-61.2333,8384,1836
1279,Horsens,DNK,55.8539,9.8578,8390,6030
1282,Shantou,CHN,23.3569,116.7147,8395,436
1283,Qua Iboe Terminal,NGA,4.2333,8.05,8424,13456
1285,Mayotte Is.,MYT,,,8425,33298
1286,El Guamache,VEN,10.8667,-64.0667,8426,1245
1293,Sunndalsora,NOR,62.6833,8.6,8440,5306
1304,Szczecin,POL,53.4211,14.5544,8445,374
1307,Sirri Is.,IRN,25.9,54.55,8476,37754
1314,Shibushi,JPN,31.4667,131.1167,8477,48
1318,Peterhead,GBR,57.5,-1.7833,8525,11600
1320,Hirtshals,DNK,57.5919,9.9711,8526,17795
1323,St. Martin,GLP,,,8527,1838
1330,Tokushima,JPN,34.05,134.6,8539,32062
1336,Searsport,USA,44.4531,-68.8983,8540,1525
1340,Launceston,AUS,-41.4364,147.1361,8543,3114
1342,Sandusky,USA,41.45,-82.7333,8570,375
1348,Matsuyama,JPN,33.8295,132.6964,8592,4874
1357,Kota Kinabalu,MYS,5.9941,116.0828,8604,437
